artist_uri,artist,artist_popularity,artist_followers,major_label,genre_pop,genre_screen,genre_hiphop,genre_punk,genre_blues,genre_country,genre_rnb,genre_rock,genre_latin,genre_dance,genre_indie,genre_elect,genre_gospel,genre_chill
7oLi2IQ3ZGq4ZKL49bpHPE,Jake Paul,18,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy,61,338852,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,64,1438120,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,67,223264,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7nqlScm2smydSRl13eaP8E,Nea,61,42422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7nU4hB040gTmHm45YYMvqc,Hannah Montana,63,4049436,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,40,62401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,74,1377917,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,84,38122219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7n2Ycct7Beij7Dj7meI4X0,TWICE,79,13765617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7muzHifhMdnfN1xncRLOqk,Flux Pavilion,57,711169,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,70,3701729,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
7meyrw7Or5DwteYxDJrkCM,YK Osiris,57,1380592,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7mZgBMpvaBziYQfc9TbJH5,Benjamin Booker,37,94934,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7mX72Bq2iXNr8fZdu23fQL,Boslen,50,43905,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7mAcgRMD6EfCKHO6cIkDOP,Jimmy Fallon,40,47853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,61,1073337,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7ltDVBr6mKbRvohxheJ9h1,Rosalia,79,5444406,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7lsnwlX6puQ7lcpSEpJbZE,Kilo Kish,48,131902,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
7lq7hz0Z6rG6v9zbJRRn4K,THE BLSSM,37,15732,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7ljL11SRgjkdqO8NqjJBVU,Funkerman,36,16868,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7lbSsjYACZHn1MSDXPxNF2,Hikaru Utada,64,2481201,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
7lQKE6HaKQcCsgLRMhsh5W,La Dispute,49,299854,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,61,186395,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7kwCkEJ384PWm0UQW3hxjS,Yella Beezy,54,1280893,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7keGfmQR4X5w0two1xKZ7d,Kungs,70,837136,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7kHK5OLdiiHCfG49KSHTko,Tape Five,41,63667,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf,61,1424458,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7k9T7lZlHjRAM1bb0r9Rm3,Wiley,58,344970,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7k73EtZwoPs516ZxE72KsO,ONE OK ROCK,66,4415696,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,75,9976215,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
7juKTDFlPesGeWQ1GmjmOv,Silento,49,224069,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7jdFEYD2LTYjfwxOdlVjmc,KALEO,66,1443018,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,82,11150794,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7jLpPyJ5gQxCvwiBsUfFu6,4*TOWN,65,234729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7jHmmW2bBagmzr76ZJW8Bc,Gramophonedzie,31,11658,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7jFaoqWPhYLrKzjzlpXmUO,David Banner,52,692294,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7ixzNQXQ64I2ayrtyhlF7i,Transviolet,44,182893,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
7isf2onROC85pAnUK3wXAb,Surahn,33,3381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7io3MyhMxDZoBYXp4rlRFA,Chase Bryant,42,262168,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
7ieMQQDR0bdBPz572mtxwS,BOBBY,49,809457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,72,6892761,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7iVuXpgNEl87BwdwV1L6he,Maor Levi,43,29170,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7iK8PXO48WeuP03g8YR51W,Myke Towers & Juhn,84,8870710,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
7i8fq2gFSVgPdWVXOlDEx7,Liv Dawson,41,57523,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
7hke13keEUFw9XHy6wI3gc,Alison Gold,1,275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7hj7ffJe6UkF1gsMpuweSI,Yungeen Ace,60,960212,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,81,8336413,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7h5oEr0hzlM0GFQMrgEwSo,Driicky Graham,25,30542,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7h4j9YTJJuAHzLCc3KCvYu,Kina Grannis,62,487496,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
7gqsi6aBSkRMJoL9psKqMr,Bill Callahan,44,135430,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
