billboard,billboard_year,billboard_date,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,artist_genre,song,track_uri,track_popularity,album_name,release_date,release_year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,-,-,-,-,So Below,-,2j551jqYq2HQH3R63vtSQi,42,25926,"['electropop', 'indie electropop', 'indie poptimism', 'nz pop', 'vapor soul']",Visions,0WEcGzNZSNl43NbyaSbmon,42,II,3/9/2018,2018,235906,0.588,0.651,5,-7.517,0,0.0249,0.00141,0.00725,0.53,0.32,90.493,4
1,2018,2/24/2018,65,4,SOB X RBE,-,2TImI3DW7o5MdRXJs4D37h,55,518419,"['cali rap', 'trap', 'underground hip hop', 'vapor trap', 'west coast trap']",Paramedic!,2tPcTFiQF9MbVUyjZ3zDhA,66,Black Panther The Album Music From And Inspired By,2/9/2018,2018,219306,0.856,0.652,1,-5.324,1,0.143,0.177,0,0.193,0.471,97.017,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",bloodstream,3VJ8JnA1femj0x5KCcfBpT,49,color theory,2/28/2020,2020,337426,0.59,0.647,9,-6.195,1,0.0246,0.483,0.0744,0.141,0.615,172.033,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",circle the drain,2drtd6SptpMJ1KylMQ7mrE,59,color theory,2/28/2020,2020,280213,0.482,0.79,9,-5.221,1,0.038,0.303,0.00028,0.1,0.47,169.064,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",crawling in my skin,1QaLNPUYVtsZHA6lZnmM30,38,color theory,2/28/2020,2020,257733,0.534,0.845,1,-6.24,0,0.0336,0.0148,0.0735,0.0819,0.663,120.717,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",gray light,3bTuDRO5RGRi9UUzk2nUsW,34,color theory,2/28/2020,2020,196920,0.503,0.555,4,-9.304,1,0.0372,0.642,0.00164,0.295,0.361,135.837,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",lucy,0F2ZAKzmxoFw1s4K1ZLzFn,38,color theory,2/28/2020,2020,296733,0.432,0.765,9,-4.355,1,0.0287,0.221,0.0544,0.32,0.482,100.952,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",night swimming,0uprppE9hF4TaIuC2h1Zme,40,color theory,2/28/2020,2020,256973,0.264,0.286,2,-10.853,1,0.0329,0.883,0.00103,0.142,0.0916,112.714,5
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",royal screw up,7lBpCteEdS5WbOnzbVmWiR,40,color theory,2/28/2020,2020,247893,0.621,0.403,9,-8.177,1,0.0252,0.641,0.00426,0.325,0.332,84.938,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",stain,5Tb3vhGEO74wsPYuRZITUB,34,color theory,2/28/2020,2020,180160,0.434,0.258,2,-9.277,0,0.0284,0.863,0.032,0.104,0.204,140.093,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",up the walls,4YLicf4kQ3RKbHXc4YJllF,36,color theory,2/28/2020,2020,164320,0.539,0.424,4,-10.399,1,0.0305,0.63,0.00583,0.0973,0.228,80.296,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283169,"art pop, bubblegrunge, indie pop, indie rock, small room",yellow is the color of her eyes,5EDBVVqd2ogoG89XVQOvsn,55,color theory,2/28/2020,2020,435080,0.371,0.51,11,-7.352,1,0.0276,0.754,0.125,0.139,0.192,161.006,4
0,-,-,-,-,Soccer Mommy,-,4wXchxfTTggLtzkoUhO86Q,55,283520,"['art pop', 'bubblegrunge', 'indie pop', 'indie rock', 'small room']",Your Dog,3BpUZB0tw4zNmG3Iw1mclL,57,Clean,3/2/2018,2018,194009,0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,4
1,2018,1/13/2018,81,5,Sofi Tukker,"NERVO, The Knocks, Alisa Ueno",586uxXMyD5ObPuzjtrzO1Q,68,638806,edm,Best Friend,1zEhH5BmSpKi1mRSIfBDOq,59,Treehouse,4/13/2018,2018,44664,0.699,0.7,11,-5.704,1,0.0392,0.0109,0.0794,0.152,0.3,102.023,4
0,-,-,-,-,Sofi Tukker,-,586uxXMyD5ObPuzjtrzO1Q,68,639294,"['edm', 'pop']",Fantasy ,2g18NV13Q39dKqfu3yNF5X,2,Fantasy (Nora En Pure Remix),5/17/2019,2019,249798,0.595,0.805,4,-5.942,0,0.0517,0.00653,0.000308,0.0494,0.186,123.996,4
1,2017,8/26/2017,95,1,Sofia Carson,"Cameron Boyce, Booboo Stewart, Mitchell Hope",7bp2lSdh12wcA8LyB1srfJ,64,2905084,"['dance pop', 'pop', 'post-teen pop']",Chillin' Like a Villain,1rM0CnyUiiw6A9CHJRXjZA,63,Descendants 2 (Original TV Movie Soundtrack),7/21/2017,2017,193792,0.697,0.775,8,-6.664,1,0.083,0.0318,0,0.232,0.826,113.886,4
0,-,-,-,-,Sofia Carson,-,7bp2lSdh12wcA8LyB1srfJ,64,2905895,"['dance pop', 'pop', 'post-teen pop']",Guess I'm a Liar,78SNsvf1rgJOYteZjXZ3vN,0,New Artists,12/18/2020,2020,178074,0.534,0.65,8,-6.298,1,0.171,0.206,2.47E-06,0.0722,0.734,107.009,4
0,-,-,-,-,Soft Metals,-,23lGImUs4hiDqnhkNlFJs4,7,5201,['grave wave'],Psychic Driving,0FE8gz0tOBbAnOp90WbzsK,0,Soft Metals,3/5/2010,2010,277803,0.551,0.676,5,-8.075,1,0.0266,0.0206,0.596,0.0667,0.336,120.035,4
0,-,-,-,-,Soil,-,4PoYwGOztIrPpBfRIlMSxP,50,299596,"['alternative metal', 'industrial metal', 'nu metal', 'rap rock']",Halo,1QixTwDZCcfBzA7QMyont0,56,Scars (Expanded Edition),10/7/2011,2011,195653,0.529,0.92,3,-4.168,1,0.0649,2.87E-05,0.00202,0.0582,0.438,111.132,4
1,2014,3/29/2014,9,1,Soko,-,4Q3f2YYH4gQxWFS3WY5G3j,49,251947,"['art pop', 'french indie pop']",We Might Be Dead by Tomorrow,2yxpMD9Fopz8FZEDSHRYy8,0,I Thought I Was An Alien,1/22/2013,2013,161413,0.386,0.151,7,-16.492,1,0.0388,0.966,0.000897,0.119,0.0825,143.456,4
1,2016,10/22/2016,74,2,Solange,-,2auiVi8sUZo17dLy1HwrTU,60,1763771,"['afrofuturism', 'alternative r&b', 'dance pop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,64,A Seat at the Table,9/30/2016,2016,250973,0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
